dimer,ipSAE_rank_001,ipSAE_rank_002,ipSAE_rank_003,ipTM_af_rank_001,ipTM_af_rank_002,ipTM_af_rank_003
ATCOPIA93_GAG__AT1G07910.2,0.0,0.0,0.0,0.19,0.17,0.17
ATCOPIA93_GAG__AT1G07920.1,0.3654,0.1929,0.0,0.56,0.48,0.14
ATCOPIA93_GAG__AT1G07930.1,0.3654,0.1929,0.0,0.56,0.48,0.14
ATCOPIA93_GAG__AT1G07940.2,0.3654,0.1929,0.0,0.56,0.48,0.14
ATCOPIA93_GAG__AT1G07950.1,0.0,0.0,0.0,0.15,0.14,0.14
ATCOPIA93_GAG__AT1G07980.1,0.0,0.0,0.0,0.16,0.15,0.14
ATCOPIA93_GAG__AT1G08000.2,0.0,0.0,0.0,0.15,0.11,0.11
ATCOPIA93_GAG__AT1G08010.2,0.0,0.0,0.0,0.17,0.11,0.11
ATCOPIA93_GAG__AT1G08060.2,0.0,0.0,0.0,0.24,0.22,0.21
ATCOPIA93_GAG__AT1G08130.1,0.0,0.0,0.0,0.16,0.15,0.13
ATCOPIA93_GAG__AT1G08260.1,0.1677,0.2107,0.0194,0.46,0.46,0.4
ATCOPIA93_GAG__AT1G08290.1,0.0,0.0,0.0,0.12,0.11,0.11
ATCOPIA93_GAG__AT1G08320.3,0.0,0.0,0.0,0.17,0.16,0.16
ATCOPIA93_GAG__AT1G08360.1,0.0,0.0,0.0,0.17,0.1,0.11
ATCOPIA93_GAG__AT1G08370.1,0.0,0.0,0.0,0.19,0.19,0.17
ATCOPIA93_GAG__AT1G08390.1,0.0,0.0,0.0,0.15,0.14,0.13
ATCOPIA93_GAG__AT1G08410.1,0.0,0.0,0.0,0.15,0.13,0.13
ATCOPIA93_GAG__AT1G08460.1,0.0,0.0,0.0,0.18,0.13,0.13
ATCOPIA93_GAG__AT1G08465.1,0.0,0.0,0.0,0.16,0.15,0.11
ATCOPIA93_GAG__AT1G08540.1,0.0121,0.0132,0.0,0.19,0.19,0.15
ATCOPIA93_GAG__AT1G08600.4,0.0,0.0,0.0,0.19,0.19,0.18
ATCOPIA93_GAG__AT1G08620.2,0.0128,0.0124,0.0,0.22,0.21,0.2
ATCOPIA93_GAG__AT1G08830.2,0.0,0.0,0.0,0.15,0.13,0.13
ATCOPIA93_GAG__AT1G08840.2,0.0,0.0,0.0,0.2,0.18,0.18
ATCOPIA93_GAG__AT1G08845.2,0.0108,0.0,0.0,0.24,0.13,0.12
ATCOPIA93_GAG__AT1G08880.1,0.0,0.0,0.0,0.15,0.12,0.12
ATCOPIA93_GAG__AT1G08910.1,0.0,0.0,0.0,0.16,0.15,0.14
ATCOPIA93_GAG__AT1G08970.4,0.0,0.0,0.0,0.22,0.17,0.14
ATCOPIA93_GAG__AT1G09060.3,0.0,0.0,0.0,0.19,0.18,0.18
ATCOPIA93_GAG__AT1G09140.1,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G09150.1,0.01,0.0,0.0,0.21,0.15,0.15
ATCOPIA93_GAG__AT1G09230.1,0.0,0.0,0.0,0.12,0.12,0.11
ATCOPIA93_GAG__AT1G09250.1,0.2702,0.0,0.0,0.51,0.19,0.12
ATCOPIA93_GAG__AT1G09270.2,0.151,0.0116,0.0,0.43,0.22,0.18
ATCOPIA93_GAG__AT1G09320.1,0.0,0.0,0.0,0.18,0.17,0.16
ATCOPIA93_GAG__AT1G09340.1,0.0,0.0,0.0,0.13,0.11,0.11
ATCOPIA93_GAG__AT1G09450.1,0.0,0.0,0.0,0.18,0.17,0.15
ATCOPIA93_GAG__AT1G09530.2,0.0,0.0,0.0,0.15,0.13,0.13
ATCOPIA93_GAG__AT1G09540.1,0.0,0.0,0.0,0.14,0.13,0.11
ATCOPIA93_GAG__AT1G09570.1,0.0122,0.0,0.0,0.27,0.21,0.18
ATCOPIA93_GAG__AT1G09600.1,0.0,0.0,0.0,0.23,0.2,0.2
ATCOPIA93_GAG__AT1G09660.1,0.0,0.0,0.0,0.13,0.13,0.11
ATCOPIA93_GAG__AT1G09690.1,0.0,0.0,0.0,0.08,0.08,0.08
ATCOPIA93_GAG__AT1G09760.1,0.0,0.0,0.0,0.26,0.14,0.12
ATCOPIA93_GAG__AT1G09770.1,0.0,0.0,0.0,0.15,0.14,0.13
ATCOPIA93_GAG__AT1G09815.1,0.0,0.0,0.0,0.16,0.16,0.12
ATCOPIA93_GAG__AT1G09950.1,0.0,0.0,0.0,0.25,0.18,0.17
ATCOPIA93_GAG__AT1G10120.1,0.0,0.0,0.0,0.14,0.14,0.11
ATCOPIA93_GAG__AT1G10170.1,0.0,0.0,0.0,0.17,0.16,0.16
ATCOPIA93_GAG__AT1G10240.1,0.0139,0.0,0.0,0.3,0.14,0.13
ATCOPIA93_GAG__AT1G10270.1,0.0,0.0,0.0,0.21,0.19,0.16
ATCOPIA93_GAG__AT1G10320.1,0.0,0.0,0.0,0.17,0.16,0.15
ATCOPIA93_GAG__AT1G10390.2,0.0,0.0,0.0,0.21,0.17,0.16
ATCOPIA93_GAG__AT1G10430.1,0.0,0.0,0.0,0.2,0.16,0.15
ATCOPIA93_GAG__AT1G10450.1,0.0,0.0122,0.0,0.22,0.18,0.17
ATCOPIA93_GAG__AT1G10470.1,0.0,0.0,0.0,0.13,0.11,0.1
ATCOPIA93_GAG__AT1G10480.1,0.0102,0.0,0.0,0.15,0.11,0.09
ATCOPIA93_GAG__AT1G10520.1,0.0,0.0,0.0,0.17,0.13,0.14
ATCOPIA93_GAG__AT1G10580.1,0.0202,0.0,0.0,0.34,0.17,0.15
ATCOPIA93_GAG__AT1G10585.1,0.0,0.0,0.0,0.14,0.14,0.11
ATCOPIA93_GAG__AT1G10586.1,0.0,0.0,0.0,0.17,0.15,0.14
ATCOPIA93_GAG__AT1G10610.1,0.0,0.0,0.0,0.15,0.15,0.14
ATCOPIA93_GAG__AT1G10710.1,0.0,0.0,0.0,0.16,0.15,0.14
ATCOPIA93_GAG__AT1G10840.1,0.0115,0.0,0.0,0.2,0.16,0.12
ATCOPIA93_GAG__AT1G10930.1,0.0,0.0,0.0,0.21,0.2,0.18
ATCOPIA93_GAG__AT1G11060.1,0.0,0.0,0.0,0.19,0.17,0.17
ATCOPIA93_GAG__AT1G11100.2,0.0,0.0,0.0,0.21,0.21,0.21
ATCOPIA93_GAG__AT1G11475.1,0.0,0.0,0.0,0.24,0.16,0.13
ATCOPIA93_GAG__AT1G11490.1,0.0151,0.0132,0.01,0.22,0.2,0.19
ATCOPIA93_GAG__AT1G11510.1,0.0,0.0,0.0,0.13,0.14,0.12
ATCOPIA93_GAG__AT1G11760.1,0.0,0.0,0.0,0.2,0.15,0.14
ATCOPIA93_GAG__AT1G11800.1,0.0,0.0,0.0,0.19,0.16,0.16
ATCOPIA93_GAG__AT1G11950.1,0.0,0.0,0.0,0.2,0.19,0.18
ATCOPIA93_GAG__AT1G12260.1,0.0102,0.0,0.0,0.2,0.13,0.12
ATCOPIA93_GAG__AT1G12400.1,0.0,0.0,0.0,0.21,0.15,0.15
ATCOPIA93_GAG__AT1G12540.1,0.0138,0.0,0.0,0.29,0.12,0.12
ATCOPIA93_GAG__AT1G12610.1,0.0,0.0,0.0,0.18,0.12,0.11
ATCOPIA93_GAG__AT1G12630.1,0.0,0.0,0.0,0.15,0.12,0.11
ATCOPIA93_GAG__AT1G12790.1,0.0,0.0,0.0,0.15,0.15,0.14
ATCOPIA93_GAG__AT1G12860.1,0.013,0.0,0.0,0.19,0.16,0.13
ATCOPIA93_GAG__AT1G12890.1,0.0,0.0,0.0,0.12,0.12,0.11
ATCOPIA93_GAG__AT1G12920.1,0.0,0.0,0.0,0.15,0.13,0.13
ATCOPIA93_GAG__AT1G12930.1,0.0141,0.0,0.0126,0.23,0.22,0.22
ATCOPIA93_GAG__AT1G12980.1,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G13030.1,0.0,0.0,0.0,0.17,0.14,0.13
ATCOPIA93_GAG__AT1G13120.1,0.0,0.0,0.0,0.15,0.14,0.14
ATCOPIA93_GAG__AT1G13160.1,0.0,0.0,0.0,0.17,0.17,0.16
ATCOPIA93_GAG__AT1G13220.2,0.0,0.0,0.0,0.15,0.15,0.14
ATCOPIA93_GAG__AT1G13260.1,0.0,0.0,0.0,0.18,0.14,0.13
ATCOPIA93_GAG__AT1G13300.1,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G13330.1,0.0,0.0,0.0,0.1,0.09,0.08
ATCOPIA93_GAG__AT1G13350.2,0.0,0.0,0.0,0.21,0.2,0.19
ATCOPIA93_GAG__AT1G13440.1,0.0,0.0,0.0,0.12,0.11,0.1
ATCOPIA93_GAG__AT1G13450.1,0.0,0.0,0.0,0.17,0.15,0.13
ATCOPIA93_GAG__AT1G13600.1,0.0101,0.0,0.0,0.14,0.14,0.11
ATCOPIA93_GAG__AT1G13620.1,0.0136,0.0,0.0,0.13,0.1,0.07
ATCOPIA93_GAG__AT1G13650.2,0.0,0.0,0.0,0.1,0.1,0.09
ATCOPIA93_GAG__AT1G13740.1,0.0141,0.0164,0.0116,0.19,0.18,0.15
ATCOPIA93_GAG__AT1G13790.1,0.0,0.0,0.0,0.18,0.17,0.16
ATCOPIA93_GAG__AT1G13870.1,0.0,0.0,0.0,0.16,0.15,0.12
ATCOPIA93_GAG__AT1G13950.1,0.0,0.0,0.0,0.2,0.11,0.11
ATCOPIA93_GAG__AT1G13960.1,0.0,0.0,0.0,0.13,0.13,0.13
ATCOPIA93_GAG__AT1G14205.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G14320.1,0.0,0.0,0.0,0.14,0.13,0.08
ATCOPIA93_GAG__AT1G14350.2,0.0,0.0,0.0,0.13,0.13,0.12
ATCOPIA93_GAG__AT1G14400.2,0.0,0.0,0.0,0.22,0.14,0.15
ATCOPIA93_GAG__AT1G14410.1,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G14440.2,0.0,0.0,0.0,0.13,0.12,0.1
ATCOPIA93_GAG__AT1G14460.1,0.0,0.0,0.0,0.17,0.17,0.15
ATCOPIA93_GAG__AT1G14510.1,0.0,0.0,0.0,0.16,0.15,0.15
ATCOPIA93_GAG__AT1G14580.2,0.0,0.0,0.0,0.13,0.12,0.11
ATCOPIA93_GAG__AT1G14600.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G14630.1,0.0,0.0,0.0,0.16,0.09,0.08
ATCOPIA93_GAG__AT1G14640.1,0.0,0.0,0.0,0.16,0.15,0.13
ATCOPIA93_GAG__AT1G14650.2,0.0,0.0104,0.0,0.15,0.15,0.15
ATCOPIA93_GAG__AT1G14687.1,0.0,0.0,0.0,0.18,0.1,0.09
ATCOPIA93_GAG__AT1G14750.1,0.0,0.0,0.0,0.18,0.18,0.14
ATCOPIA93_GAG__AT1G14760.1,0.0,0.0,0.0,0.22,0.16,0.14
ATCOPIA93_GAG__AT1G14790.1,0.0,0.0,0.0,0.19,0.19,0.18
ATCOPIA93_GAG__AT1G14850.1,0.0,0.0,0.0,0.2,0.18,0.17
ATCOPIA93_GAG__AT1G14900.1,0.0,0.0,0.0,0.09,0.09,0.09
ATCOPIA93_GAG__AT1G14920.1,0.0,0.0,0.0,0.19,0.15,0.14
ATCOPIA93_GAG__AT1G15050.1,0.0,0.0,0.0,0.13,0.14,0.12
ATCOPIA93_GAG__AT1G15215.2,0.0183,0.0375,0.0189,0.31,0.3,0.29
ATCOPIA93_GAG__AT1G15250.1,0.0,0.0,0.0,0.11,0.1,0.09
ATCOPIA93_GAG__AT1G15310.1,0.0,0.0,0.0,0.13,0.13,0.12
ATCOPIA93_GAG__AT1G15320.1,0.0,0.0,0.0,0.19,0.16,0.13
ATCOPIA93_GAG__AT1G15360.1,0.0,0.0,0.0,0.12,0.12,0.11
ATCOPIA93_GAG__AT1G15390.1,0.0,0.0,0.0,0.14,0.14,0.13
ATCOPIA93_GAG__AT1G15470.1,0.0,0.0,0.0,0.15,0.15,0.14
ATCOPIA93_GAG__AT1G15570.1,0.0152,0.0,0.0,0.28,0.19,0.18
ATCOPIA93_GAG__AT1G15580.1,0.0,0.0,0.0,0.13,0.13,0.13
ATCOPIA93_GAG__AT1G15660.1,0.0,0.0,0.0,0.27,0.16,0.14
ATCOPIA93_GAG__AT1G15750.4,0.0,0.0,0.0,0.25,0.2,0.19
ATCOPIA93_GAG__AT1G15810.1,0.0,0.0,0.0,0.16,0.11,0.12
ATCOPIA93_GAG__AT1G15910.1,0.0,0.0,0.0,0.14,0.14,0.14
ATCOPIA93_GAG__AT1G15930.2,0.0,0.0,0.0,0.14,0.13,0.13
ATCOPIA93_GAG__AT1G15940.1,0.0349,0.0136,0.0,0.25,0.25,0.19
ATCOPIA93_GAG__AT1G16060.1,0.0,0.0,0.0,0.14,0.13,0.12
ATCOPIA93_GAG__AT1G16070.2,0.0,0.0,0.0,0.16,0.14,0.14
ATCOPIA93_GAG__AT1G16210.1,0.0113,0.0,0.0,0.18,0.11,0.1
ATCOPIA93_GAG__AT1G16330.1,0.0,0.0,0.0,0.19,0.19,0.17
ATCOPIA93_GAG__AT1G16430.1,0.0,0.0,0.0,0.14,0.14,0.14
ATCOPIA93_GAG__AT1G16490.1,0.0,0.0,0.0,0.14,0.1,0.1
ATCOPIA93_GAG__AT1G16590.1,0.0,0.0,0.0,0.23,0.22,0.15
ATCOPIA93_GAG__AT1G16610.3,0.0,0.0,0.0,0.14,0.12,0.11
ATCOPIA93_GAG__AT1G16690.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G16710.1,0.012,0.013,0.0128,0.3,0.28,0.26
ATCOPIA93_GAG__AT1G16720.1,0.0,0.0,0.0,0.16,0.13,0.13
ATCOPIA93_GAG__AT1G16740.1,0.0,0.0,0.0,0.18,0.14,0.12
ATCOPIA93_GAG__AT1G16910.1,0.0,0.0,0.0,0.13,0.13,0.12
ATCOPIA93_GAG__AT1G16970.1,0.0,0.0,0.0,0.16,0.14,0.14
ATCOPIA93_GAG__AT1G17040.2,0.0,0.0,0.0,0.18,0.17,0.14
ATCOPIA93_GAG__AT1G17070.1,0.0,0.0,0.0,0.16,0.16,0.15
ATCOPIA93_GAG__AT1G17110.2,0.0,0.0,0.0,0.18,0.18,0.18
ATCOPIA93_GAG__AT1G17130.2,0.0,0.0,0.0,0.14,0.11,0.1
ATCOPIA93_GAG__AT1G17220.1,0.0,0.0,0.0,0.16,0.15,0.15
ATCOPIA93_GAG__AT1G17310.1,0.0,0.0,0.0,0.14,0.13,0.13
ATCOPIA93_GAG__AT1G17450.2,0.0,0.0,0.0,0.24,0.22,0.2
ATCOPIA93_GAG__AT1G17470.2,0.0,0.0,0.0,0.15,0.12,0.11
ATCOPIA93_GAG__AT1G17560.1,0.0,0.0,0.0,0.13,0.11,0.11
ATCOPIA93_GAG__AT1G17580.1,0.0,0.0,0.0,0.18,0.18,0.17
ATCOPIA93_GAG__AT1G17590.4,0.0,0.0,0.0,0.12,0.11,0.1
ATCOPIA93_GAG__AT1G17680.2,0.0138,0.0127,0.0,0.2,0.19,0.17
ATCOPIA93_GAG__AT1G17760.1,0.0,0.0114,0.0,0.21,0.17,0.16
ATCOPIA93_GAG__AT1G17950.1,0.0,0.0,0.0,0.15,0.13,0.12
ATCOPIA93_GAG__AT1G18040.1,0.0121,0.0,0.0,0.3,0.26,0.22
ATCOPIA93_GAG__AT1G18050.1,0.0,0.0,0.0,0.14,0.14,0.12
ATCOPIA93_GAG__AT1G18070.3,0.0,0.0,0.0,0.15,0.14,0.14
ATCOPIA93_GAG__AT1G18080.1,0.0,0.0,0.0,0.18,0.14,0.12
ATCOPIA93_GAG__AT1G18330.2,0.012,0.0,0.0,0.25,0.16,0.11
ATCOPIA93_GAG__AT1G18340.1,0.0566,0.0404,0.0,0.45,0.42,0.12
ATCOPIA93_GAG__AT1G18400.1,0.0,0.0,0.0,0.11,0.11,0.1
ATCOPIA93_GAG__AT1G18450.1,0.0,0.0,0.0,0.23,0.22,0.19
ATCOPIA93_GAG__AT1G18540.1,0.0,0.0,0.0,0.08,0.08,0.08
ATCOPIA93_GAG__AT1G18670.1,0.0,0.0,0.0,0.19,0.19,0.17
ATCOPIA93_GAG__AT1G18750.1,0.0,0.0,0.0,0.14,0.13,0.13
ATCOPIA93_GAG__AT1G18800.1,0.0,0.0,0.0,0.14,0.14,0.14
ATCOPIA93_GAG__AT1G18835.1,0.0,0.0,0.0,0.19,0.15,0.13
ATCOPIA93_GAG__AT1G18860.1,0.0,0.0,0.0,0.14,0.14,0.13
ATCOPIA93_GAG__AT1G18960.1,0.0,0.0,0.0,0.14,0.1,0.11
ATCOPIA93_GAG__AT1G19000.2,0.0,0.0,0.0,0.11,0.1,0.1
ATCOPIA93_GAG__AT1G19025.1,0.0107,0.0,0.0,0.19,0.19,0.17
ATCOPIA93_GAG__AT1G19040.1,0.0,0.0,0.0,0.16,0.16,0.15
ATCOPIA93_GAG__AT1G19050.1,0.0115,0.0,0.0,0.32,0.11,0.11
ATCOPIA93_GAG__AT1G19080.2,0.0,0.0,0.0,0.17,0.15,0.15
ATCOPIA93_GAG__AT1G19100.1,0.0,0.0,0.0,0.18,0.16,0.16
